Feature,Chi2 Score,p-value
exang,85.66787195662576,2.1284310674307685e-20
chol_missing,36.88432347324358,1.2534978517466483e-09
slope_missing,29.99304726778903,4.3359822100863256e-08
thal,28.331625204201366,1.0221240777277419e-07
cp,19.47498298989725,1.0192590272932066e-05
ca,16.682955045157758,4.417613914045369e-05
sex,14.78743939568454,0.00012033435562489695
thalach,6.685273909351337,0.009721258457859216
fbs,5.645967603414411,0.01749555888578929
age,4.929283393285937,0.02640526532689096
slope,4.6239259295604205,0.031528995653001775
ca_missing,4.33614332763269,0.037311349047357195
oldpeak,3.6639550344704404,0.055601499124345685
restecg,2.377375539115328,0.1231042067446324
trestbps,0.4715752227106652,0.4922633836803234
thal_missing,0.23343965662611843,0.6289850211729093
chol,0.2120609471872556,0.6451568282670918
