Branch,Metric,Mean,Std,95% CI Lower,95% CI Upper
Clinical,Accuracy,0.8364,0.0276,0.7826,0.8913
ECG,Accuracy,0.8729,0.0062,0.8606,0.8853
Clinical,Precision,0.8268,0.0366,0.7523,0.8957
ECG,Precision,0.9003,0.0069,0.8874,0.9135
Clinical,Recall,0.892,0.0317,0.823,0.9469
ECG,Recall,0.8756,0.0082,0.8594,0.8916
Clinical,F1 Score,0.8576,0.0258,0.8039,0.9065
ECG,F1 Score,0.8877,0.0058,0.8764,0.8988
Clinical,AUC,0.9266,0.0178,0.8887,0.9582
ECG,AUC,0.9424,0.004,0.9347,0.9504
Clinical,Average Precision,0.9427,0.0157,0.9105,0.9705
ECG,Average Precision,0.9627,0.0029,0.9568,0.9681
