I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.14878184,-2.4408505,-2.0940423,1.7673622,1.3170353,-2.4488091,0.24796993,0.6162957,0.33759198,0.88816494,0.15085585,1.3923546
0.059662376,-2.2634091,-2.0870774,1.5332013,1.4094764,-2.3535657,0.26141927,0.6162957,0.32064313,0.90441924,0.15085585,1.4072978
0.21125817,-2.1013978,-2.052254,1.341615,1.4649409,-2.2503855,0.2793517,0.6162957,0.32064313,0.90441924,0.15085585,1.4446558
-0.21510501,-2.4331357,-2.0383244,1.7992932,1.2523266,-2.4091244,0.33314905,0.6162957,0.32064313,0.90441924,0.15085585,1.3774114
-0.36670083,-2.517999,-2.003501,1.948305,1.1506413,-2.4329352,0.3286659,0.6162957,0.32064313,0.9003557,0.15085585,1.3699397
-0.2814282,-2.4408505,-1.9895716,1.8525119,1.1876179,-2.3853133,0.3555646,0.6162957,0.32064313,0.90848285,0.15615834,1.310167
-0.19615553,-2.3945615,-2.0174303,1.7673622,1.2430824,-2.3773766,0.37798017,0.6060756,0.29945704,0.89222854,0.13494839,1.3026954
-0.12035764,-2.3482726,-2.03136,1.6822128,1.289303,-2.3615026,0.40039572,0.5617885,0.1850521,0.85565627,0.08192348,1.2429227
-0.07298395,-2.2942686,-2.0174303,1.6183506,1.3077911,-2.3297548,0.40039572,0.5243148,0.12573102,0.81908405,0.03950356,1.1906215
-0.0066607846,-2.2556946,-2.03136,1.5544888,1.3540117,-2.3138812,0.33314905,0.43914732,0.14267989,0.790639,-0.013521346,1.3026954
-0.35722607,-2.517999,-2.0104656,1.9376612,1.1691296,-2.440872,0.29280102,0.31991285,-0.035283346,0.68092227,-0.055941273,1.1682067
-0.395125,-2.5951474,-2.0592184,2.012167,1.1783737,-2.5043676,0.21658812,0.21089849,-0.2429071,0.5427605,-0.15668859,0.98888826
-0.035085,-2.4254208,-2.1636891,1.6928564,1.4187204,-2.480557,0.11795966,0.10529082,-0.29799095,0.5386969,-0.20441099,1.1084338
-0.035085,-2.417706,-2.1567242,1.6822128,1.4187204,-2.4726198,0.03726363,0.03375015,-0.37426093,0.53463334,-0.16199109,1.2279794
-0.025610263,-2.4562802,-2.191548,1.7141439,1.4464527,-2.5123045,-0.07033106,-0.054824024,-0.48866585,0.5386969,-0.07184874,1.2055646
0.32495502,-2.2248352,-2.2542303,1.3522586,1.6590672,-2.4249983,-0.21827376,-0.1468049,-0.5183264,0.53463334,0.08192348,1.2802806
0.542874,-2.1554015,-2.3447714,1.1819597,1.8254609,-2.440872,-0.5141592,-0.26944607,-0.49290308,0.5590148,0.23039322,1.4072978
0.3912782,-2.317413,-2.3795948,1.3841897,1.7792405,-2.5440524,-0.64865255,-0.32735994,-0.4547681,0.70936733,0.41598037,1.5193717
0.5618235,-2.2248352,-2.4213831,1.2245344,1.8809257,-2.5202415,-0.585889,-0.24219248,-0.33188874,0.8353384,0.49551773,1.5343149
0.63762134,-2.1939757,-2.4492419,1.1500287,1.9363903,-2.5202415,-0.5231254,-0.10592451,-0.17934881,0.99788165,0.60687,1.459599
0.5239245,-2.0473938,-2.233336,1.1180975,1.742264,-2.3218179,-0.31241912,0.09166403,0.019800514,1.1319798,0.6439875,1.4222409
0.4670761,-1.9702456,-2.1288657,1.0968102,1.6405789,-2.2265747,-0.18689197,0.2143052,0.163866,1.1482341,0.5644501,1.3549966
0.09756132,-2.2556946,-2.1149364,1.50127,1.4556968,-2.3615026,-0.043432385,0.31991285,0.22318707,1.1644886,0.52733266,1.2952238
-0.044559732,-2.2942686,-2.0452893,1.6077071,1.3355235,-2.3456287,0.10899343,0.4595875,0.32488036,1.2132515,0.46900526,1.3325818
-0.05403447,-2.2788389,-2.0104656,1.6077071,1.3077911,-2.3138812,0.14485833,0.5140947,0.36301535,1.2335694,0.47430778,1.3624682
-0.10140816,-2.2556946,-1.9617127,1.6077071,1.2615707,-2.2741961,0.23003747,0.5583818,0.42233643,1.2254422,0.46370277,1.310167
-0.12035764,-2.240265,-1.933854,1.6183506,1.2338383,-2.2503855,0.25693613,0.6605828,0.52402973,1.2295059,0.49021524,1.2802806
0.012288689,-2.2479796,-2.0383244,1.5438448,1.3632557,-2.3138812,0.31969967,0.72871673,0.60029966,1.2295059,0.5220302,1.2503942
-0.05403447,-2.1939757,-1.933854,1.5438448,1.2615707,-2.2345114,0.3465984,0.72871673,0.6214857,1.2295059,0.47961023,1.2130362
-0.23405448,-2.2016907,-1.815454,1.6502815,1.0951767,-2.163079,0.3286659,0.7832239,0.5918252,1.2132515,0.4477953,1.1906215
0.18283395,-2.0242496,-1.9617127,1.2883965,1.4002322,-2.155142,0.39142948,0.8070708,0.587588,1.2051244,0.41067788,1.1682067
0.06913711,-2.1476867,-1.9895716,1.4480517,1.3540117,-2.2345114,0.37349704,0.7764105,0.5664019,1.209188,0.37356046,1.1457918
-0.1866808,-2.317413,-1.954748,1.7035003,1.21535,-2.305944,0.26590237,0.7695972,0.55369025,1.18887,0.36295545,1.1233771
-0.08245868,-2.2171204,-1.9408187,1.5757759,1.2523266,-2.2424486,0.23452057,0.74915695,0.57487637,1.18887,0.38946792,1.1009623
-0.12035764,-2.2171204,-1.9059951,1.5970632,1.2061061,-2.2186375,0.24796993,0.73893684,0.57487637,1.1848065,0.3947704,1.0860192
-0.10140816,-2.1708312,-1.8851011,1.5544888,1.2061061,-2.18689,0.22555435,0.7219034,0.56216466,1.168552,0.38946792,1.0636042
-0.07298395,-2.1322572,-1.8642069,1.5119139,1.2061061,-2.155142,0.22107124,0.71509,0.549453,1.168552,0.38946792,1.0636042
0.021763425,-2.1091127,-1.9199246,1.4480517,1.280059,-2.178953,0.22555435,0.7219034,0.5367414,1.168552,0.38946792,1.0411894
0.08808658,-2.031964,-1.8990306,1.3522586,1.3077911,-2.1233943,0.23452057,0.7116833,0.52402973,1.168552,0.3841654,1.0262463
0.021763425,-2.031964,-1.8502774,1.3948333,1.2430824,-2.0995836,0.27486858,0.7559703,0.57063913,1.168552,0.40007287,1.0262463
-0.06350921,-2.085968,-1.8363482,1.4693391,1.196862,-2.1154575,0.27486858,0.7832239,0.60029966,1.1563613,0.41067788,1.0038315
0.15440975,-1.8468082,-1.7875953,1.1926033,1.2615707,-1.9646555,0.31969967,0.7525636,0.56216466,1.1360434,0.37356046,0.98141664
0.33442977,-1.7310857,-1.8084893,1.0116607,1.3632557,-1.9170338,0.39142948,0.73212343,0.5579275,1.1238527,0.34704798,0.95900196
0.12598553,-1.9471011,-1.8502774,1.2777528,1.289303,-2.051962,0.3690139,0.7116833,0.5282669,1.1075984,0.31523308,0.9365871
-0.09193342,-2.0705385,-1.79456,1.479983,1.1506413,-2.0837097,0.38246328,0.68442965,0.51555526,1.091344,0.28341812,0.9141723
-0.2814282,-2.1631165,-1.745807,1.6502815,1.030468,-2.1075203,0.37798017,0.69805646,0.5070808,1.0832169,0.3046281,0.90670073
-0.2624787,-2.1091127,-1.7109834,1.6077071,1.0027356,-2.0598989,0.37349704,0.73212343,0.511318,1.0466446,0.2993256,0.86934274
-0.27195343,-2.0473938,-1.6483011,1.5651323,0.9657593,-1.9884664,0.38246328,0.67761624,0.50284356,1.0100724,0.26751065,0.8245132
-0.47092292,-2.2325501,-1.6691952,1.809937,0.88256234,-2.0995836,0.23003747,0.6060756,0.32488036,0.97756374,0.2463007,0.80209833
-0.49934712,-2.2556946,-1.6761599,1.8312244,0.87331825,-2.1154575,0.14934145,0.5549751,0.2528476,0.9369279,0.20918325,0.7647404
-0.3856503,-2.1631165,-1.6691952,1.7141439,0.9195388,-2.0598989,0.068645425,0.5038746,0.2740337,0.90441924,0.1826708,0.734854
-0.22457975,-2.139972,-1.7667011,1.6077071,1.0674444,-2.0995836,-0.03446616,0.4834344,0.22318707,0.8719106,0.15615834,0.697496
-0.1866808,-2.1322572,-1.7875953,1.5757759,1.0951767,-2.1075203,-0.047915496,0.4595875,0.2062382,0.8475291,0.13494839,0.69002444
-0.19615553,-2.1245425,-1.7736659,1.5864197,1.0766885,-2.0995836,-0.10619596,0.43574062,0.163866,0.8109569,0.11904091,0.6825528
-0.1393071,-2.085968,-1.7875953,1.5225575,1.1229091,-2.0916464,-0.07929728,0.41530046,0.13844268,0.7825118,0.09783095,0.65266645
-0.16773131,-2.093683,-1.7736659,1.5438448,1.1044208,-2.0916464,-0.047915496,0.39826694,0.11725658,0.7581303,0.07662099,0.65266645
-0.12983236,-2.0705385,-1.7806305,1.50127,1.1229091,-2.0757728,-0.025499934,0.39826694,0.100307696,0.7337488,0.066016,0.6451948
-0.15825658,-2.0551088,-1.7318774,1.50127,1.0674444,-2.044025,0.014848077,0.4834344,0.18081486,0.7215581,0.108435936,0.697496
-0.1866808,-2.0551088,-1.7179482,1.5225575,1.0489563,-2.0360878,0.032780528,0.5379416,0.24861039,0.6971766,0.1243434,0.7199108
-0.10140816,-2.031964,-1.7597364,1.4586955,1.1229091,-2.044025,0.07761165,0.5243148,0.22742428,0.741876,0.08192348,0.65266645
-0.30037764,-2.0088198,-1.5925835,1.5544888,0.9195388,-1.9408447,0.11347655,0.5379416,0.23589872,0.7865754,0.07662099,0.6153084
-0.48039764,-2.0242496,-1.4741836,1.671569,0.7531449,-1.885286,0.16279079,0.5072813,0.24437317,0.7337488,0.03950356,0.5555356
-0.2909029,-2.039679,-1.627407,1.5757759,0.93802696,-1.9725925,0.17624012,0.49365452,0.23589872,0.72562164,0.023596086,0.51070607
-0.22457975,-2.1013978,-1.7318774,1.5757759,1.0397121,-2.0678358,0.122442774,0.4595875,0.1892893,0.6849859,0.03950356,0.48081967
-0.2814282,-2.1476867,-1.7318774,1.6502815,1.0119798,-2.0916464,0.11795966,0.44596076,0.16810322,0.6646679,0.03420107,0.45093325
-0.2909029,-2.093683,-1.6761599,1.6077071,0.97500336,-2.028151,0.06416231,0.39145356,0.13420545,0.6484136,0.023596086,0.4957629
-0.35722607,-2.1168275,-1.6483011,1.6609255,0.9287828,-2.028151,0.046229858,0.33013296,0.100307696,0.62403214,0.0023861253,0.5181777
-0.3098524,-2.031964,-1.6065129,1.5757759,0.9195388,-1.9567184,-0.038949274,0.30628607,0.12996824,0.6646679,0.044806045,0.57047886
-0.44249868,-2.085968,-1.55776,1.6928564,0.8178536,-1.9567184,-0.14654396,0.24496548,0.07064715,0.60371417,-0.013521346,0.4882913
-0.34775135,-2.0088198,-1.5647247,1.5864197,0.8640741,-1.9249707,-0.088263504,0.41189373,0.1850521,0.6890494,0.09783095,0.5181777
-0.5940945,-2.1091127,-1.4672188,1.7992932,0.67919207,-1.9170338,0.08209476,0.5072813,0.19776374,0.56714195,-0.11957116,0.46587646
-0.1866808,-2.0165346,-1.6831245,1.50127,1.030468,-1.9964032,0.40936193,1.0182862,0.8121606,1.062899,0.05541103,0.4359901
1.4240245,-0.90559816,-1.8642069,-0.16978808,1.9363903,-1.5281236,-0.17344263,0.9263053,1.8079073,2.7899215,2.1551971,1.8331789
3.385295,0.03561178,-2.4562066,-1.925996,3.286029,-1.3773216,-1.8366773,-0.4568145,2.536709,5.1305447,5.3579016,4.2838626
