I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.97135764,0.06759164,0.5782632,0.23639242,-1.2004756,0.2906603,-1.1490455,1.1443546,0.48516437,1.0470206,0.9337999,-1.6461879
-0.8166566,0.083460085,0.52107173,0.1758178,-1.0486246,0.27694556,-1.1332827,1.1525149,0.49365294,1.0470206,0.9368693,-1.6368119
-0.7960297,0.11122986,0.5470679,0.15158795,-1.0719863,0.304375,-1.1112145,1.1960372,0.5276072,1.0544957,0.9460777,-1.6227479
-0.91979057,0.13899963,0.64585316,0.16370288,-1.247199,0.35923383,-1.0922991,1.2858018,0.6506915,1.0694456,0.96142507,-1.6039958
-0.60007507,0.1628023,0.51587254,0.048611123,-0.9201353,0.3180897,-1.0197898,1.4680512,0.8968601,1.066954,0.967564,-1.5852439
-0.4866276,0.17867073,0.47947794,0.0062088952,-0.8266885,0.3135181,-0.92205983,1.63942,1.1090745,1.1018374,0.9859807,-1.5711797
-0.4763142,0.27784848,0.6042594,-0.0725381,-0.95517784,0.42323574,-0.90629697,1.8624716,1.4146631,1.1890459,1.0381614,-1.5242997
-0.32161313,0.4365329,0.73424,-0.24214698,-1.013582,0.57409745,-0.88422894,2.012079,1.7032745,1.2837296,1.1548009,-1.4211638
-0.2700461,0.71423066,1.0721897,-0.47233054,-1.3640075,0.88496405,-0.87477124,2.0175195,1.9451989,1.4282466,1.3481768,-1.2523955
-0.09471821,0.9919284,1.3477489,-0.7328013,-1.5742629,1.1638296,-0.846398,1.9957583,1.9579318,1.5627968,1.4801636,-1.1680114
0.14249012,1.1863167,1.4829288,-0.9508699,-1.5859437,1.3375492,-0.846398,1.9168743,1.8857789,1.6051553,1.6121502,-1.1820755
0.15280353,1.2537577,1.5661163,-0.9993296,-1.6793905,1.4061226,-0.9472805,1.7482256,1.7924045,1.577747,1.658192,-1.1680114
0.12186332,1.1942511,1.5037256,-0.9508699,-1.6209863,1.3466922,-0.9851115,1.5088532,1.5377475,1.5603051,1.6060112,-1.1539475
0.059982877,1.1268102,1.4465342,-0.87818044,-1.5976245,1.2826903,-1.0008743,1.2477199,1.2533803,1.5229301,1.5476915,-1.1492594
-0.19785225,0.95622444,1.3529481,-0.6722267,-1.6443479,1.1455432,-1.0355527,0.9974671,0.909593,1.3933632,1.3880798,-1.1680114
-0.4866276,0.74200046,1.2177681,-0.42387083,-1.6443479,0.96268064,-1.0387052,0.78529614,0.60824865,1.241371,1.2376764,-1.2711476
-0.5897617,0.5555463,1.0253967,-0.2542619,-1.480816,0.7706748,-1.0418578,0.6411288,0.3917901,1.1142957,1.1241064,-1.3695956
-0.6310153,0.4365329,0.8954161,-0.15128508,-1.3640075,0.642671,-1.0418578,0.5268829,0.2220186,1.0221039,1.0443004,-1.4211638
-0.71352255,0.3928947,0.8798184,-0.090710476,-1.39905,0.61067003,-1.0418578,0.44799885,0.10317858,0.9647954,1.0043975,-1.4352278
-0.78571635,0.34925646,0.848623,-0.03619333,-1.39905,0.57409745,-1.0418578,0.4044766,0.052247155,0.92492867,0.9706334,-1.4305396
-0.8579102,0.30561826,0.82782614,0.018323816,-1.4224118,0.53752494,-1.0355527,0.3772752,0.03527001,0.89253694,0.9491472,-1.4492917
-0.87853694,0.27784848,0.8070292,0.04255366,-1.39905,0.5146671,-1.0260949,0.34463355,0.009804293,0.8701119,0.9184527,-1.4586678
-0.8888504,0.25404584,0.7810331,0.06678351,-1.3873693,0.4872377,-1.0260949,0.32015228,-0.015661426,0.8526702,0.89389694,-1.4539798
-0.89916384,0.2381774,0.76543534,0.07889842,-1.3756883,0.473523,-1.0166372,0.31743217,-0.03688286,0.8352285,0.8816191,-1.4352278
-0.9816711,0.20644051,0.76543534,0.12735811,-1.4224118,0.4552367,-1.0071795,0.31471202,-0.028394284,0.8202784,0.8632024,-1.4352278
-0.9919844,0.19453919,0.75503695,0.13947302,-1.4107308,0.44152203,-1.010332,0.3065516,-0.015661426,0.80034506,0.85092455,-1.4305396
-1.0229247,0.16676942,0.73424,0.16976033,-1.4107308,0.41866416,-0.9977218,0.3011113,-0.007172853,0.80034506,0.83557725,-1.4117877
-1.0435514,0.1628023,0.73943925,0.18187526,-1.4224118,0.41866416,-0.9725011,0.30927175,0.009804293,0.8152951,0.8232994,-1.4164757
-1.0641782,0.17073652,0.76023614,0.18187526,-1.4691352,0.43237886,-0.95673823,0.32015228,0.02253715,0.8252618,0.8478551,-1.3977237
-1.2188793,0.15883519,0.81742764,0.23639242,-1.6093055,0.45066515,-0.92836505,0.333753,0.026781438,0.83772016,0.8693413,-1.3555317
-0.8682236,0.34925646,0.8954161,-0.011963488,-1.5041778,0.5923837,-0.91890734,0.3419134,0.09893431,0.8501785,0.90003586,-1.3227156
